energy[exact/Pred]/stress[exact/Pred]: 1 -356.8275852938651 -356.9948746372241 -0.5531884892120227 -19.273550971428374
energy[exact/Pred]/stress[exact/Pred]: 2 -358.1773906533782 -357.7402315203236 -0.5774403092891156 -26.373742344424475
energy[exact/Pred]/stress[exact/Pred]: 3 -355.6742502392915 -357.7688854151865 -0.6399804225493296 -2.933367010810605
energy[exact/Pred]/stress[exact/Pred]: 4 -357.41398836169 -356.530277794695 -0.668976335510468 -3.595248622172804
energy[exact/Pred]/stress[exact/Pred]: 5 -356.43220129886083 -354.8151703069916 -0.4362832714422727 -3.3331925259560946
energy[exact/Pred]/stress[exact/Pred]: 6 -354.0345594227415 -348.1461434896627 -0.503580774995889 -3.605453802320421
energy[exact/Pred]/stress[exact/Pred]: 7 -355.9878939348452 -355.0871367764203 -0.661642190070488 -3.5848207392475975
energy[exact/Pred]/stress[exact/Pred]: 8 -359.3796711796472 -360.93241010601713 -0.40992009357958326 -2.2201410739562895
energy[exact/Pred]/stress[exact/Pred]: 9 -358.08903639575465 -357.2825571930518 -0.6065900843494166 -2.8477420349143365
energy[exact/Pred]/stress[exact/Pred]: 10 -357.4543444971779 -354.97049039222077 -0.4838472358636963 -2.770151529962653
energy[exact/Pred]/stress[exact/Pred]: 11 -356.7553144701568 -356.7498442105456 -0.3345132817976019 -2.33751891103701
energy[exact/Pred]/stress[exact/Pred]: 12 -357.69339864268716 -355.7137070523379 -0.8583508474139089 -3.424616307633112
energy[exact/Pred]/stress[exact/Pred]: 13 -355.47611650033565 -353.94548566334487 -0.5507374275517893 -2.922209533125951
energy[exact/Pred]/stress[exact/Pred]: 14 -356.577376847085 -356.0822867233182 -0.3317999734497757 -2.1578013664950997
energy[exact/Pred]/stress[exact/Pred]: 15 -356.8561768303566 -358.73018032957816 -0.44604875565613195 -2.4151843248241995
energy[exact/Pred]/stress[exact/Pred]: 16 -355.25144536080825 -352.56010192368973 -0.6393278535266814 -3.061596108294409
energy[exact/Pred]/stress[exact/Pred]: 17 -357.6237056111443 -358.8621887171899 -0.567080711287861 -2.643434508233835
energy[exact/Pred]/stress[exact/Pred]: 18 -355.66916700796764 -351.3633596474046 -0.3692154651273525 -2.6517520183294288
energy[exact/Pred]/stress[exact/Pred]: 19 -357.7173054162691 -355.83578468263653 -0.5657526809724555 -3.071932467527398
energy[exact/Pred]/stress[exact/Pred]: 20 -356.7025197187327 -357.50307643664746 -0.27796719982505586 -2.588358185155503
energy[exact/Pred]/stress[exact/Pred]: 21 -355.7294991604937 -354.71890168746904 -0.35425566275359427 -2.522781063534381
energy[exact/Pred]/stress[exact/Pred]: 22 -359.5087865761434 -358.37340395822076 -0.27931201080816953 -2.2186239844259377
energy[exact/Pred]/stress[exact/Pred]: 23 -357.0213505980401 -356.5289308171839 -0.7454119054155189 -3.292064454994007
energy[exact/Pred]/stress[exact/Pred]: 24 -358.3420783701668 -359.772137568569 -0.49806426613609217 -2.439798857179751
energy[exact/Pred]/stress[exact/Pred]: 25 -357.5154503477094 -359.46500991273103 -0.48421544821669543 -2.504941579550558
energy[exact/Pred]/stress[exact/Pred]: 26 -356.09983287049613 -350.8605437430668 -0.5428285767229116 -2.9907893690808756
energy[exact/Pred]/stress[exact/Pred]: 27 -359.12151976898315 -357.27871350536066 -0.2849469886333183 -2.301531422150963
energy[exact/Pred]/stress[exact/Pred]: 28 -354.60297117918105 -348.72799882705334 -0.49053740124507317 -3.013652336395254
energy[exact/Pred]/stress[exact/Pred]: 29 -357.0549033349306 -356.1630475491857 -0.6828184503845325 -3.045644198247922
energy[exact/Pred]/stress[exact/Pred]: 30 -357.11571871101216 -354.6148508939564 -0.6479969887487299 -3.2273498746621967
energy[exact/Pred]/stress[exact/Pred]: 31 -356.49992890443133 -355.2165536098377 -0.4232678958680811 -2.641601392410832
energy[exact/Pred]/stress[exact/Pred]: 32 -357.3130299760185 -357.0075236271405 -0.5633077641170682 -3.0379199157643826
energy[exact/Pred]/stress[exact/Pred]: 33 -358.2481839840114 -355.69521264055055 -0.6891249164075012 -3.282327914516713
energy[exact/Pred]/stress[exact/Pred]: 34 -358.2239063085759 -357.40473463576404 -0.2522539610867907 -2.84093967619604
energy[exact/Pred]/stress[exact/Pred]: 35 -357.93925803844104 -361.5229482158327 -0.4850433963705674 -3.140194758022222
energy[exact/Pred]/stress[exact/Pred]: 36 -354.46311043093203 -349.07799073736976 -0.6237911477216157 -3.24897477654717
energy[exact/Pred]/stress[exact/Pred]: 37 -355.3943930912036 -352.47571650759465 -0.5491509869037471 -3.3688297161353504
energy[exact/Pred]/stress[exact/Pred]: 38 -357.2074412884155 -360.35447293815855 -0.28274549705902946 -2.7647531940287053
energy[exact/Pred]/stress[exact/Pred]: 39 -357.2199401197463 -357.3380234137427 -0.3386133837803232 -2.896374270180022
energy[exact/Pred]/stress[exact/Pred]: 40 -357.09335307600077 -354.56742499826987 -0.39120969219531326 -3.0431980319455465
energy[exact/Pred]/stress[exact/Pred]: 41 -357.58846930194755 -357.37525578050656 -0.5382691276990261 -3.2394100586350514
energy[exact/Pred]/stress[exact/Pred]: 42 -358.18871015020295 -358.02172436651114 -0.3297921114990004 -2.967685601510824
energy[exact/Pred]/stress[exact/Pred]: 43 -357.38202614641165 -356.4787789986276 -0.23003875833362816 -2.8746635782866465
energy[exact/Pred]/stress[exact/Pred]: 44 -356.8583316750712 -357.07271132582866 -0.2690240874766483 -2.7848145517377083
energy[exact/Pred]/stress[exact/Pred]: 45 -355.8754831934073 -354.46238987671387 -0.3048823451825481 -2.923088364895206
